model,architecture_slug,image_path,filename,true_class,predicted_class,confidence,uncertainty,margin
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_194.jpg,mild_194.jpg,Mild_Demented,Non_Demented,0.8660452961921692,0.35480508873769245,0.7981624454259872
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_5.jpg,mild_5.jpg,Mild_Demented,Very_Mild_Demented,0.8289734125137329,0.3482509374024676,0.663601279258728
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_3085.jpg,non_3085.jpg,Non_Demented,Mild_Demented,0.8261540532112122,0.3337658706161984,0.6523949056863785
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_1957.jpg,non_1957.jpg,Non_Demented,Very_Mild_Demented,0.8816754221916199,0.2623960587066916,0.763369157910347
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_637.jpg,non_637.jpg,Non_Demented,Very_Mild_Demented,0.9483904242515564,0.15325233207589484,0.8987967222929001
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_738.jpg,non_738.jpg,Non_Demented,Very_Mild_Demented,0.9221262335777283,0.2225961346136594,0.856036089360714
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_594.jpg,non_594.jpg,Non_Demented,Very_Mild_Demented,0.8270354866981506,0.4258811542795256,0.7201662957668304
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_588.jpg,non_588.jpg,Non_Demented,Very_Mild_Demented,0.934805691242218,0.18697306717080683,0.8744189627468586
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_713.jpg,non_713.jpg,Non_Demented,Very_Mild_Demented,0.9139969944953918,0.2124512864980581,0.8281705752015114
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_1469.jpg,non_1469.jpg,Non_Demented,Very_Mild_Demented,0.8961752653121948,0.24586590322335,0.7937414199113846
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_2885.jpg,non_2885.jpg,Non_Demented,Mild_Demented,0.8915534019470215,0.24951606300526225,0.783494122326374
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_444.jpg,non_444.jpg,Non_Demented,Mild_Demented,0.9912228584289551,0.03738490071395389,0.9828109806403518
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_488.jpg,non_488.jpg,Non_Demented,Very_Mild_Demented,0.9638567566871643,0.13086604909260216,0.9409086313098669
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_732.jpg,non_732.jpg,Non_Demented,Very_Mild_Demented,0.9096840620040894,0.21878557951198624,0.8193709030747414
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_310.jpg,non_310.jpg,Non_Demented,Very_Mild_Demented,0.9976937174797058,0.012845665008365289,0.9961983332177624
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_288.jpg,non_288.jpg,Non_Demented,Mild_Demented,0.9702380299568176,0.10173663808753346,0.942359171807766
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_416.jpg,non_416.jpg,Non_Demented,Very_Mild_Demented,0.8990186452865601,0.25887858353992,0.8074517101049423
MobileNetV2,mobilenet_v2,data/dataset/Very_Mild_Demented/verymild_964.jpg,verymild_964.jpg,Very_Mild_Demented,Non_Demented,0.8397786021232605,0.31839062162906334,0.6797259449958801
MobileNetV2,mobilenet_v2,data/dataset/Very_Mild_Demented/verymild_1696.jpg,verymild_1696.jpg,Very_Mild_Demented,Mild_Demented,0.9046898484230042,0.263857223308422,0.830966979265213
MobileNetV2,mobilenet_v2,data/dataset/Very_Mild_Demented/verymild_564.jpg,verymild_564.jpg,Very_Mild_Demented,Non_Demented,0.9866341352462769,0.051202008382103294,0.9732713606208563
MobileNetV2,mobilenet_v2,data/dataset/Very_Mild_Demented/verymild_387.jpg,verymild_387.jpg,Very_Mild_Demented,Non_Demented,0.9066596031188965,0.23824019248409306,0.8183544650673866
MobileNetV2,mobilenet_v2,data/dataset/Very_Mild_Demented/verymild_900.jpg,verymild_900.jpg,Very_Mild_Demented,Non_Demented,0.9326324462890625,0.1838731873781615,0.8669711872935295
MobileNetV2,mobilenet_v2,data/dataset/Very_Mild_Demented/verymild_862.jpg,verymild_862.jpg,Very_Mild_Demented,Non_Demented,0.9682837128639221,0.1015263248033596,0.9365763328969479
MobileNetV2,mobilenet_v2,data/dataset/Very_Mild_Demented/verymild_491.jpg,verymild_491.jpg,Very_Mild_Demented,Non_Demented,0.9768443703651428,0.0794063300826388,0.953688882291317
EfficientNet-B0,efficientnet_b0,data/dataset/Non_Demented/non_1263.jpg,non_1263.jpg,Non_Demented,Mild_Demented,0.8808249831199646,0.28012547071233085,0.767322912812233
EfficientNet-B0,efficientnet_b0,data/dataset/Non_Demented/non_3162.jpg,non_3162.jpg,Non_Demented,Very_Mild_Demented,0.948787271976471,0.14586288250326068,0.8975886553525925
EfficientNet-B0,efficientnet_b0,data/dataset/Non_Demented/non_2791.jpg,non_2791.jpg,Non_Demented,Very_Mild_Demented,0.8976555466651917,0.23819904563487415,0.79531180113554
EfficientNet-B0,efficientnet_b0,data/dataset/Non_Demented/non_588.jpg,non_588.jpg,Non_Demented,Very_Mild_Demented,0.9767851233482361,0.08055472273594384,0.9537872597575188
EfficientNet-B0,efficientnet_b0,data/dataset/Non_Demented/non_1363.jpg,non_1363.jpg,Non_Demented,Very_Mild_Demented,0.8286449313163757,0.3868184338194169,0.6848175972700119
EfficientNet-B0,efficientnet_b0,data/dataset/Non_Demented/non_1063.jpg,non_1063.jpg,Non_Demented,Very_Mild_Demented,0.9033634066581726,0.2698959856346737,0.8324760794639587
EfficientNet-B0,efficientnet_b0,data/dataset/Non_Demented/non_488.jpg,non_488.jpg,Non_Demented,Very_Mild_Demented,0.8153590559959412,0.34929328125368436,0.6315658092498779
