model,architecture_slug,image_path,filename,true_class,predicted_class,confidence,uncertainty,margin
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_163.jpg,mild_163.jpg,Mild_Demented,Mild_Demented,0.4232042729854584,0.7883454258798992,0.060124874114990234
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_330.jpg,mild_330.jpg,Mild_Demented,Mild_Demented,0.5747851729393005,0.4947634306247842,0.1500779390335083
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_374.jpg,mild_374.jpg,Mild_Demented,Mild_Demented,0.493621289730072,0.5958285624520238,0.02440813183784485
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_780.jpg,mild_780.jpg,Mild_Demented,Mild_Demented,0.5658898949623108,0.4979488932840651,0.13255393505096436
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_172.jpg,mild_172.jpg,Mild_Demented,Mild_Demented,0.6987989544868469,0.45680642962273516,0.40157613158226013
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_230.jpg,mild_230.jpg,Mild_Demented,Mild_Demented,0.5333670377731323,0.5087969569612131,0.06899532675743103
MobileNetV2,mobilenet_v2,data/dataset/Mild_Demented/mild_356.jpg,mild_356.jpg,Mild_Demented,Mild_Demented,0.4216289818286896,0.7610634740082302,0.044040173292160034
MobileNetV2,mobilenet_v2,data/dataset/Moderate_Demented/moderate_58.jpg,moderate_58.jpg,Moderate_Demented,Moderate_Demented,0.6342785358428955,0.5430123034110909,0.29064154624938965
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_2856.jpg,non_2856.jpg,Non_Demented,Non_Demented,0.5485404133796692,0.5317075398045766,0.10715433955192566
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_2177.jpg,non_2177.jpg,Non_Demented,Non_Demented,0.6526069641113281,0.4857184330592819,0.31040042638778687
MobileNetV2,mobilenet_v2,data/dataset/Non_Demented/non_240.jpg,non_240.jpg,Non_Demented,Non_Demented,0.566564679145813,0.49654241916530906,0.13361233472824097
