filepath,filename,canonical_class,original_class,width,height,channels,file_extension,file_size_bytes,sha256
data/dataset/Mild_Demented/mild.jpg,mild.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4170,644437874ab9ea704382560b97a0833341a732c898f34899cb05afb422b1b00f
data/dataset/Mild_Demented/mild_10.jpg,mild_10.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4183,55ce6ad32baa2226f0e566fba378a6ae016948092545a23f6ebce3fc2d67c32c
data/dataset/Mild_Demented/mild_100.jpg,mild_100.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4042,2d110d98831e0aea9f3c985fa5e8a3016f2abc49c971237b16f4a97449c7d03b
data/dataset/Mild_Demented/mild_101.jpg,mild_101.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4149,c44d0f80451c62757bb6b7b9a1998aa2568b48806317f87721b22ece6197656f
data/dataset/Mild_Demented/mild_102.jpg,mild_102.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4011,7c9b34d3bc2eff946343743c34c4a6caa1dc7035aa7a98ba97b79182bc2bc4a6
data/dataset/Mild_Demented/mild_103.jpg,mild_103.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4048,2d2131a39c3e46473f6d2d5e5db4faefce2679f2bfd0f2ee313cbeef0ee298d0
data/dataset/Mild_Demented/mild_104.jpg,mild_104.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3992,7d4b2a41d1996c6a1c3e350e205f199f7ad6ae20592f455082e50a8d05fc5d37
data/dataset/Mild_Demented/mild_105.jpg,mild_105.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4160,7f4c4461eebfbb64efa7a40cc699bc7c61aa07c5a0115eadc5c58e7b39bac899
data/dataset/Mild_Demented/mild_106.jpg,mild_106.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4113,5171aac776442503b30c46e3677ead9c69dedd16de842131f53b50a90fdffaa5
data/dataset/Mild_Demented/mild_107.jpg,mild_107.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3668,f6ab2e478079c133a275faa419edb834fb0d12207533e4f5cada80d65a76e031
data/dataset/Mild_Demented/mild_108.jpg,mild_108.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4035,41e7c5c89f895ba3df10e04ceb0bcecfede0fc8ef2ccddcd8428556b56a524b6
data/dataset/Mild_Demented/mild_109.jpg,mild_109.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4127,344cf9f1deeca186889bb1f06d20423cdaf258b7407ce6ec8992907b6292bd05
data/dataset/Mild_Demented/mild_11.jpg,mild_11.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4254,5e05f7343ccd4c0ccf322095d0c85a15f985a3f72a29c4c814ba28624002a2f2
data/dataset/Mild_Demented/mild_110.jpg,mild_110.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4029,9cab406bca11ef8571a898d70be31589a1a83dd930e079b0515f132e90c30d55
data/dataset/Mild_Demented/mild_111.jpg,mild_111.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3994,13f072988722e593e7f390f94c6e915deeef9f7755dc60efede4b6c0aa299cf7
data/dataset/Mild_Demented/mild_112.jpg,mild_112.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3848,9e9d00e1d784e53fc9a4172b75cd19115f5025f8a0299e3284323b5eb102daa5
data/dataset/Mild_Demented/mild_113.jpg,mild_113.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3994,d43cacf1c085a865fc255b2db2e46870fa4248a4183865cf44f750783c1aabbc
data/dataset/Mild_Demented/mild_114.jpg,mild_114.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4178,e6e75059738a17a52a78e13b842875452f4f9071d705d2aa5d598823a894e5e6
data/dataset/Mild_Demented/mild_115.jpg,mild_115.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4082,1add649dca18b05f17e9ed72116a8368a52465582e5307f10614052eacdf597a
data/dataset/Mild_Demented/mild_116.jpg,mild_116.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4089,a43caa438399d3a3bb00fc2daf2c3fb0cda3baf6c46728551d58d24958a572df
data/dataset/Mild_Demented/mild_117.jpg,mild_117.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3882,57493c700d3ef2346922b13e9ed308c24621f94e0184dff8b721fbe5024157ec
data/dataset/Mild_Demented/mild_118.jpg,mild_118.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4246,1b2f399bbec495074bfa4a25c5cac2ed8b53ca0a4a14a5963057695fbca05887
data/dataset/Mild_Demented/mild_119.jpg,mild_119.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4076,d63810a37b47ca3580a6383ddcb00925efa7f2f45e1ff0817d254fdd518f4af4
data/dataset/Mild_Demented/mild_12.jpg,mild_12.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4274,d118017320462a21b91e3c17eec39bc8835eeea2639c207c34291935786e4663
data/dataset/Mild_Demented/mild_120.jpg,mild_120.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4093,2de8ba384ff8bf2b9f16c38dca47133fe988889437cc7d2458493ec2d31bd942
data/dataset/Mild_Demented/mild_121.jpg,mild_121.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3860,c653001627aff41c60f52ba6d23caf62360cc07ad0649d317b7fddad34298c67
data/dataset/Mild_Demented/mild_122.jpg,mild_122.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4088,544fceea18ad4e547126b72742d0893420164dfcd755498be2962fd47cb08fbc
data/dataset/Mild_Demented/mild_123.jpg,mild_123.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4010,fefc8dc4cd1eb0c42c274a5f0122d4e52a6553129b3b6b4dcd11a7031f8fe871
data/dataset/Mild_Demented/mild_124.jpg,mild_124.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4244,7e477da7d533dbf6060d792c52adaf659fb0562fec1f49a77a3b6d0109451a35
data/dataset/Mild_Demented/mild_125.jpg,mild_125.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4007,230b57f68e9408c7dfd108dabecfd3eaadaa735a3ae72f6e09a7922a7d3b729c
data/dataset/Mild_Demented/mild_126.jpg,mild_126.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4121,2d1c922c972ac217d42f87b81ae0e9d23d8bdbb4b89dba28d38ff482e7040943
data/dataset/Mild_Demented/mild_127.jpg,mild_127.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3977,2070080fb30ac0d7aa003173ac18a3545db9293348d0bb93be0e64887722b263
data/dataset/Mild_Demented/mild_128.jpg,mild_128.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4022,3527c3576a17fc006673d2b3a2c41859482df656d45ea669bfce312e4522ce94
data/dataset/Mild_Demented/mild_129.jpg,mild_129.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4086,cc8cc3d6fbd308d8c618e9f031f9550887c3d840fbeaf23efb24e5a1e4e469d0
data/dataset/Mild_Demented/mild_13.jpg,mild_13.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4024,8d85f8d3e1fbb4b52897705736fdeac685b06de6ccc33c22d2bb35aebd7379a3
data/dataset/Mild_Demented/mild_130.jpg,mild_130.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3951,f4f29c7ca9c81edc3dc7b8be6d26459586e74f69d12960213613ec1641c41561
data/dataset/Mild_Demented/mild_131.jpg,mild_131.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3962,2ec04b2cf8a174f9917ba2ab8a6d61362eb0fe626791ca7255a62da0f48177b0
data/dataset/Mild_Demented/mild_132.jpg,mild_132.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3991,3f3dc43569401edf9e2864d8bfa78ab1ec9d9cdd8ea31857616a16e9ab6c840d
data/dataset/Mild_Demented/mild_133.jpg,mild_133.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4115,6a51b261234c14f2247bff316565625b51ca61c1d394106cef341c5219e7713d
data/dataset/Mild_Demented/mild_134.jpg,mild_134.jpg,Mild Demented,MildDemented,128,128,1,.jpg,4115,e3e9da6633c2d528e6af901a25fd0b19081af56e94ba4a1c0a0c9ad4f004f98e
data/dataset/Mild_Demented/mild_135.jpg,mild_135.jpg,Mild Demented,MildDemented,128,128,1,.jpg,3645,e2641202756ce44fc764bd2d4345a3d736b403cf00a4ac9132787047688d026a
