filepath,filename,canonical_class,original_class,width,height,channels,sha256,split
data/dataset/Mild_Demented/mild_237.jpg,mild_237.jpg,Mild Demented,MildDemented,128,128,1,05f49ed48673f4b78c191c821544d9d1bfb3313a5dbc1a5308053b9d1f4d623a,train
data/dataset/Mild_Demented/mild_319.jpg,mild_319.jpg,Mild Demented,MildDemented,128,128,1,4e23ace001d08cdef95574eed1eab5c21db9572ccb09813409a931d089d40bf6,train
data/dataset/Mild_Demented/mild_30.jpg,mild_30.jpg,Mild Demented,MildDemented,128,128,1,3125bdb7f63ce4b01b7ba3a5d4a58bf26015d2f5db24a85eae05a67932c8ed41,train
data/dataset/Mild_Demented/mild_133.jpg,mild_133.jpg,Mild Demented,MildDemented,128,128,1,6a51b261234c14f2247bff316565625b51ca61c1d394106cef341c5219e7713d,train
data/dataset/Mild_Demented/mild_442.jpg,mild_442.jpg,Mild Demented,MildDemented,128,128,1,a9213c0bd6931302d0bc1ee4db53ecf4dd9bc4b614f420c77690159604f49df2,train
data/dataset/Mild_Demented/mild_335.jpg,mild_335.jpg,Mild Demented,MildDemented,128,128,1,8edf6d85fcfb589f7b88eef94ae7e867a9134ce220f316c1f6c27f9706309818,train
data/dataset/Mild_Demented/mild_346.jpg,mild_346.jpg,Mild Demented,MildDemented,128,128,1,6c0aef310920332753f572e6654f6696a895902859880c3165467b5cee2949d9,train
data/dataset/Mild_Demented/mild_6.jpg,mild_6.jpg,Mild Demented,MildDemented,128,128,1,822f1008d2ab5233ce234a686adf6b08c06259ab0d8abd28875e034107d949da,train
data/dataset/Mild_Demented/mild_581.jpg,mild_581.jpg,Mild Demented,MildDemented,128,128,1,a1ea538c139a4a8c03c43e7e9f14a672be2100f9f97db092b9ab881955c4cf68,train
data/dataset/Mild_Demented/mild_126.jpg,mild_126.jpg,Mild Demented,MildDemented,128,128,1,2d1c922c972ac217d42f87b81ae0e9d23d8bdbb4b89dba28d38ff482e7040943,train
data/dataset/Mild_Demented/mild_200.jpg,mild_200.jpg,Mild Demented,MildDemented,128,128,1,73b2960b39caded181e92d4b9dbbf94359b4427a7213e611f763c37d838d5ef1,train
data/dataset/Mild_Demented/mild_752.jpg,mild_752.jpg,Mild Demented,MildDemented,128,128,1,15c12cca8903c40848f14981d135b4220dcc37bbab9320d83931962a72d90f7f,train
data/dataset/Mild_Demented/mild_750.jpg,mild_750.jpg,Mild Demented,MildDemented,128,128,1,665165eacc8130c11c3a3c61d44205ce9b377c51e2de4ed36fb7cd0028599ec9,train
data/dataset/Mild_Demented/mild_417.jpg,mild_417.jpg,Mild Demented,MildDemented,128,128,1,a719ca6cef72beccdb7c85e023221b2e55fc1c447dcb8af39e61ebe069b89137,train
data/dataset/Mild_Demented/mild_794.jpg,mild_794.jpg,Mild Demented,MildDemented,128,128,1,9bb528bfe9252e4c38b1e503e95bb95b8e3c451071ca61f0e525f8dfc8b832b0,train
data/dataset/Mild_Demented/mild_802.jpg,mild_802.jpg,Mild Demented,MildDemented,128,128,1,72e464b57b8899f3a7d227d1d1e19f347228bc594a708441b30aab6c1482d93d,train
data/dataset/Mild_Demented/mild_622.jpg,mild_622.jpg,Mild Demented,MildDemented,128,128,1,43823644f0e5fdcbebba0d751bb0bcf0dd654bd89b04c9f49f22f3db8f90f749,train
data/dataset/Mild_Demented/mild_726.jpg,mild_726.jpg,Mild Demented,MildDemented,128,128,1,dadbb426118dc9f014b7b37db378646b1f236d6d4bd07f740b282a60fa9909da,train
data/dataset/Mild_Demented/mild_753.jpg,mild_753.jpg,Mild Demented,MildDemented,128,128,1,58cc036ba22c6e35862f658d37d205cdc7900695c0a7518d1b8f6d98e7c39e6f,train
data/dataset/Mild_Demented/mild_469.jpg,mild_469.jpg,Mild Demented,MildDemented,128,128,1,5e5f681e9bd38d94d0d8280f33309f93db8448756682db6f4f8e28f4754b8090,train
data/dataset/Mild_Demented/mild_536.jpg,mild_536.jpg,Mild Demented,MildDemented,128,128,1,67bdf1c42b6249c245f52d923e8272ef0170494e18986d364b3296a6682475a4,train
data/dataset/Mild_Demented/mild_383.jpg,mild_383.jpg,Mild Demented,MildDemented,128,128,1,b46b8eba0b4eda7d725347539103c6816b07d63f011362df3ecebe5caa7b8ce8,train
data/dataset/Mild_Demented/mild_285.jpg,mild_285.jpg,Mild Demented,MildDemented,128,128,1,f5a7fc6af73b517139d0924ad5dbd367d2eba4044d64059545d8ee5d65188d3d,train
data/dataset/Mild_Demented/mild_125.jpg,mild_125.jpg,Mild Demented,MildDemented,128,128,1,230b57f68e9408c7dfd108dabecfd3eaadaa735a3ae72f6e09a7922a7d3b729c,train
data/dataset/Mild_Demented/mild_546.jpg,mild_546.jpg,Mild Demented,MildDemented,128,128,1,04983915ef0342543304305c1daeba53a8c7189984485cfefca68ad5609b1a62,train
data/dataset/Mild_Demented/mild_691.jpg,mild_691.jpg,Mild Demented,MildDemented,128,128,1,ec71e33cddc8ff5e5c0138aad3cfdca71a99b241ccdd3e8c3726efc0fdbc2fcd,train
data/dataset/Mild_Demented/mild_796.jpg,mild_796.jpg,Mild Demented,MildDemented,128,128,1,cc97a71a5018dd725bbd6c1b0d114ec5147a3ab454d9101cf80f5b7db2646751,train
data/dataset/Mild_Demented/mild_478.jpg,mild_478.jpg,Mild Demented,MildDemented,128,128,1,c31286a6ad97316fe2dae97e86ee1c183cc792316a8a402c233b372b66249e42,train
data/dataset/Mild_Demented/mild_649.jpg,mild_649.jpg,Mild Demented,MildDemented,128,128,1,d0b3530ffb859aa70e7b6f70889d2423e14efb99234bca21ff045b137decad77,train
data/dataset/Mild_Demented/mild_13.jpg,mild_13.jpg,Mild Demented,MildDemented,128,128,1,8d85f8d3e1fbb4b52897705736fdeac685b06de6ccc33c22d2bb35aebd7379a3,train
data/dataset/Mild_Demented/mild_586.jpg,mild_586.jpg,Mild Demented,MildDemented,128,128,1,008346011228645cc84efc5c4c63442a7975cfece238122c439b812930f250f2,train
data/dataset/Mild_Demented/mild_825.jpg,mild_825.jpg,Mild Demented,MildDemented,128,128,1,57cca685eab38c5823ff87c19d994d3b55f154a225c40c999e2db93378f03913,train
data/dataset/Mild_Demented/mild_266.jpg,mild_266.jpg,Mild Demented,MildDemented,128,128,1,e3c4977a906a2b0401175b4e1ed3aca7b7d2127132cc246debcbf77ba49b5e17,train
data/dataset/Mild_Demented/mild_648.jpg,mild_648.jpg,Mild Demented,MildDemented,128,128,1,506f72126447733e3e70463c8a4ff7f545ce22a5575bb04ea00259b469fb58ba,train
data/dataset/Mild_Demented/mild_818.jpg,mild_818.jpg,Mild Demented,MildDemented,128,128,1,24d83b69b58ab23e31c8eb02b71d2d5c7367fd4fce69647371ff5bff049133fe,train
data/dataset/Mild_Demented/mild_509.jpg,mild_509.jpg,Mild Demented,MildDemented,128,128,1,ceeee58d980708d4996a9ad431b21d0c257b0c8e82bdf494f1fea2e6b015e70b,train
data/dataset/Mild_Demented/mild_689.jpg,mild_689.jpg,Mild Demented,MildDemented,128,128,1,ae1adfe27093a13f80c91e708123cdcd5d5d41e5dac41e26cdbb45bd9d823ae6,train
data/dataset/Mild_Demented/mild_764.jpg,mild_764.jpg,Mild Demented,MildDemented,128,128,1,8fb6aa5ad09cb341465add744ba5c7f7601a1420c444d9e57f9b245c51365b6e,train
data/dataset/Mild_Demented/mild_895.jpg,mild_895.jpg,Mild Demented,MildDemented,128,128,1,5d3fa220f7cac0e816572ba3eedb2575282f77d183ac697ef84c2d4230046e9d,train
data/dataset/Mild_Demented/mild_540.jpg,mild_540.jpg,Mild Demented,MildDemented,128,128,1,cd99fc7d64801f4d0b7a7fb4f50069cb0d247d24d43cfcbe99d7b6be349a68d9,train
data/dataset/Mild_Demented/mild_566.jpg,mild_566.jpg,Mild Demented,MildDemented,128,128,1,0bafa80f0cbc8859674afa889ae349a88cb0e3fad0ab8eaab686a53832c131ae,train
data/dataset/Mild_Demented/mild_633.jpg,mild_633.jpg,Mild Demented,MildDemented,128,128,1,6f29e3076f5e0dff56b2c6537647d7fc1e8cb02c6f6f11d0b37fbbc6c32871b9,train
data/dataset/Mild_Demented/mild_472.jpg,mild_472.jpg,Mild Demented,MildDemented,128,128,1,005c6431c67a16bca26de627407a42d590371ac55706d2eefc41792d457bf93b,train
data/dataset/Mild_Demented/mild_327.jpg,mild_327.jpg,Mild Demented,MildDemented,128,128,1,9eaad6d69178b29291e639f084c65a2fb149aa6035008fd79a095441290a742f,train
data/dataset/Mild_Demented/mild_870.jpg,mild_870.jpg,Mild Demented,MildDemented,128,128,1,b8033d05a221e3c162b8efa2aa240899b2a4be889313f3e59665aa47bdfdf1cd,train
data/dataset/Mild_Demented/mild_401.jpg,mild_401.jpg,Mild Demented,MildDemented,128,128,1,f77c7500dac339caf09e4cbec54f5991c036d2420e5a4da654e1e1bbefa410a9,train
data/dataset/Mild_Demented/mild_59.jpg,mild_59.jpg,Mild Demented,MildDemented,128,128,1,bc1ab33d090acf3811f2945da1e26063d0d6a2edb76be4c504f0876921011583,train
data/dataset/Mild_Demented/mild_838.jpg,mild_838.jpg,Mild Demented,MildDemented,128,128,1,1fae80c8de179e9f2b25ddd99bd0715984d30e65e73f365ac741e33e960fbbad,train
data/dataset/Mild_Demented/mild_531.jpg,mild_531.jpg,Mild Demented,MildDemented,128,128,1,276fae677d0a4e370fc154064db3acf60cc61bdfa822f8dbe822b1a7d5aac97a,train
data/dataset/Mild_Demented/mild_139.jpg,mild_139.jpg,Mild Demented,MildDemented,128,128,1,19933d76f4368d32cf3473d953f2d615e0ded10f392f26f56c69224c9b53080a,train
data/dataset/Mild_Demented/mild_448.jpg,mild_448.jpg,Mild Demented,MildDemented,128,128,1,eed4546346d9ce35fd01d7025faba9310a6eb1c76af2a7a714beb4cbcd1ff22f,train
data/dataset/Mild_Demented/mild_67.jpg,mild_67.jpg,Mild Demented,MildDemented,128,128,1,94a3233ef82de603141457f277059d58dcb237fcc13b5d3247af13b6eb7eb02e,train
data/dataset/Mild_Demented/mild_57.jpg,mild_57.jpg,Mild Demented,MildDemented,128,128,1,418e9a6bcb7931066604a81167b0f4650c21d678e7732c92d3721b2d702e231d,train
data/dataset/Mild_Demented/mild_717.jpg,mild_717.jpg,Mild Demented,MildDemented,128,128,1,8a4bff0e29da1b344795b418ff6ad03af7dda442cfc37a77b42c4f455675d9e5,train
data/dataset/Mild_Demented/mild_92.jpg,mild_92.jpg,Mild Demented,MildDemented,128,128,1,0fd4fe1e53ab232deb5709279e70c45a2cbb262ab17974bb3be3483347214f2a,train
data/dataset/Mild_Demented/mild_140.jpg,mild_140.jpg,Mild Demented,MildDemented,128,128,1,0b8fac1bac649efb2829e555645837aa1d38ef5533ab9e128eaeae4376e25e5f,train
data/dataset/Mild_Demented/mild_238.jpg,mild_238.jpg,Mild Demented,MildDemented,128,128,1,e9dcc0394873fb861e2a1c7706dfe43f60590d5d193fa94b75d1c6edf987766a,train
data/dataset/Mild_Demented/mild_38.jpg,mild_38.jpg,Mild Demented,MildDemented,128,128,1,1ac9f0025ebcfdee6aa9a5fabf0653233583a6609031a409fd76658aa7153e87,train
data/dataset/Mild_Demented/mild_360.jpg,mild_360.jpg,Mild Demented,MildDemented,128,128,1,dbb9a31a9ef2268193b4e24e8dff118f4a124f3a6842767c4ee3e75f24e5196b,train
data/dataset/Mild_Demented/mild_692.jpg,mild_692.jpg,Mild Demented,MildDemented,128,128,1,1a875fef41f865eb002cb06280e57806e719b7ce0e06b3d3232b17b7a15234b7,train
data/dataset/Mild_Demented/mild_645.jpg,mild_645.jpg,Mild Demented,MildDemented,128,128,1,282199ff78409ae2acd4e06155ca35e70f3c236d3f0cfee3f0d268d6885d7787,train
data/dataset/Mild_Demented/mild_122.jpg,mild_122.jpg,Mild Demented,MildDemented,128,128,1,544fceea18ad4e547126b72742d0893420164dfcd755498be2962fd47cb08fbc,train
data/dataset/Mild_Demented/mild_62.jpg,mild_62.jpg,Mild Demented,MildDemented,128,128,1,5c5f10779c623d652f6d5cd655b0d71f414a0905cadbd025c537d8881e93bc4d,train
data/dataset/Mild_Demented/mild_136.jpg,mild_136.jpg,Mild Demented,MildDemented,128,128,1,ae8215973aba7a2f37826207d14be9cccbcb0ef90534e0546bbfc91bdb5c69f7,train
data/dataset/Mild_Demented/mild_766.jpg,mild_766.jpg,Mild Demented,MildDemented,128,128,1,5f9ce87ca1177601ceef9bb8dec5aafaef921c87f47350fc247975d48735d391,train
data/dataset/Mild_Demented/mild_178.jpg,mild_178.jpg,Mild Demented,MildDemented,128,128,1,ad3914e9809e564479b4aa24ad6e6800e7981f257706a81491bd9a36a308dc80,train
